start_date,end_date,duration_hours,duration_minutes,war_id,faction_id,faction_name,won,score,total_war_score,attacks,rank_before,rank_after,member_count,participating_member_count,reward_respect,reward_points,Small Arms Cache,Armor Cache,Melee Cache,Medium Arms Cache,Heavy Arms Cache,forfeit,score_pct_of_war_total,faction_total_wins,faction_total_wars,faction_win_percentage,rank_number_before,rank_number_after,total_cache_value
2025-06-26 18:00:00,2025-06-30 01:20:32,79.34,4761.0,27322,53459,The Twilight Order!,False,1201,3240,264,Bronze,Bronze,15,9,744,0,0.0,0.0,1.0,0.0,0.0,False,0.371,2,8,0.25,1,1,133.0
2025-06-26 18:00:00,2025-06-30 01:20:32,79.34,4761.0,27322,53884,Fragmented Reality,True,2039,3240,410,Bronze,Bronze I,15,13,1615,0,2.0,0.0,0.0,1.0,0.0,False,0.629,2,3,0.6666666666666666,1,2,412.0
2025-04-04 21:00:00,2025-04-06 04:11:16,31.19,1871.0,23866,40951,TBA-Rise Again,True,7495,9468,1405,Silver I,Silver II,59,41,4870,1607,0.0,3.0,0.0,0.0,1.0,False,0.792,2,4,0.5,6,7,1297.0
2025-04-04 21:00:00,2025-04-06 04:11:16,31.19,1871.0,23866,50723,Shaggers,False,1973,9468,465,Silver I,Silver,47,23,1841,608,0.0,1.0,1.0,0.0,0.0,False,0.208,12,21,0.5714285714285714,6,5,442.0
2025-06-19 13:00:00,2025-06-24 00:00:57,107.02,6421.0,27124,937,Sport Club,True,5009,7080,557,Diamond,Diamond I,98,35,20125,0,5.0,8.0,7.0,5.0,1.0,False,0.707,10,23,0.43478260869565216,17,18,5278.0
2025-06-19 13:00:00,2025-06-24 00:00:57,107.02,6421.0,27124,9357,Monarch Mavericks,False,2071,7080,198,Diamond I,Diamond,89,28,12664,0,3.0,5.0,3.0,5.0,0.0,False,0.293,10,21,0.47619047619047616,18,17,3227.0
2025-02-22 00:00:00,2025-02-22 12:31:45,12.53,752.0,22403,16443,Undead Covenant,True,13172,16643,1115,Platinum II,Platinum III,56,42,13773,4545,4.0,8.0,1.0,3.0,0.0,False,0.791,14,24,0.5833333333333334,15,16,3619.0
2025-02-22 00:00:00,2025-02-22 12:31:45,12.53,752.0,22403,38847,Vigilantes,False,3471,16643,350,Platinum II,Platinum I,46,17,4326,1428,0.0,2.0,0.0,2.0,0.0,False,0.209,11,22,0.5,15,14,998.0
2025-01-18 20:00:00,2025-01-19 03:12:24,7.21,432.0,21142,12645,NPO - Endurance,True,14893,17782,1753,Gold,Gold I,93,68,11328,3738,0.0,4.0,5.0,4.0,0.0,False,0.838,6,12,0.5,9,10,2661.0
2025-01-18 20:00:00,2025-01-19 03:12:24,7.21,432.0,21142,15595,Lusty Lizards,False,2889,17782,457,Gold I,Gold,100,27,3055,1008,1.0,0.0,1.0,2.0,0.0,False,0.162,7,16,0.4375,10,9,624.0
2025-01-23 20:00:00,2025-01-25 18:03:30,46.06,2764.0,21382,49017,Arcadian Rangers,True,2922,3532,617,Silver II,Silver III,12,9,2389,788,1.0,1.0,0.0,1.0,0.0,False,0.827,9,16,0.5625,7,8,610.0
2025-01-23 20:00:00,2025-01-25 18:03:30,46.06,2764.0,21382,51042,Starlight,False,610,3532,123,Silver I,Silver,17,11,655,216,0.0,0.0,1.0,0.0,0.0,False,0.173,7,13,0.5384615384615384,6,5,133.0
2025-04-26 15:00:00,2025-04-30 01:54:39,82.91,4975.0,24684,10098,Moo Farms,False,2158,6204,433,Gold I,Gold,13,13,1558,514,0.0,0.0,1.0,1.0,0.0,False,0.348,3,9,0.3333333333333333,10,9,323.0
2025-04-26 15:00:00,2025-04-30 01:54:39,82.91,4975.0,24684,52834,Mullet Mafia,True,4046,6204,806,Gold,Gold I,23,12,3914,1292,0.0,1.0,1.0,1.0,1.0,False,0.652,8,16,0.5,9,10,1002.0
2025-03-08 20:00:00,2025-03-10 23:00:55,51.02,3061.0,23064,49651,Exalibur,False,1008,4205,250,Silver II,Silver I,12,8,1224,404,0.0,1.0,0.0,0.0,0.0,False,0.24,2,11,0.18181818181818182,7,6,309.0
2025-03-08 20:00:00,2025-03-10 23:00:55,51.02,3061.0,23064,50737,Rocky's Gym,True,3197,4205,593,Silver III,Gold I,16,14,3221,0,1.0,1.0,1.0,1.0,0.0,False,0.76,5,12,0.4166666666666667,8,10,743.0
2025-04-18 21:00:00,2025-04-21 12:10:45,63.18,3791.0,24573,53459,The Twilight Order!,False,351,1784,110,Bronze I,Bronze,12,8,581,0,1.0,0.0,0.0,0.0,0.0,False,0.197,2,8,0.25,2,1,111.0
2025-04-18 21:00:00,2025-04-21 12:10:45,63.18,3791.0,24573,53652,The Outpost,True,1433,1784,285,Bronze II,Bronze III,12,7,2037,0,0.0,1.0,0.0,1.0,0.0,False,0.803,3,4,0.75,3,4,499.0
2025-03-20 08:00:00,2025-03-23 23:47:16,87.79,5267.0,23578,52940,The Scare Lab,False,1465,3578,371,Bronze,Bronze,10,9,741,0,0.0,0.0,1.0,0.0,0.0,False,0.409,2,6,0.3333333333333333,1,1,133.0
